 ,2022(A),2021(P),2020,2019,2018,2017,2016
A: Productos característicos del turismo,61483.7,24481.7,15345.6,58853.0,56185.2,53153.9,47704.1
1A: Hoteles y similares,17406.1,7168.6,4004.6,19430.4,17852.3,15792.9,14177.2
1B: Servicios de alquiler inmobiliario,5797.7,2276.4,764.9,5289.2,5124.4,5066.9,4277.1
2: Servicios de provisión de alimentos y bebidas,10653.8,4419.1,2329.7,10380.1,10393.5,10054.5,9123.3
3: Servicios de transporte de pasajeros por ferrocarril,937.1,260.8,167.9,600.9,979.2,1045.4,874.9
4: Servicios de transporte de pasajeros por carretera,1421.5,674.4,365.7,1365.2,1770.9,1816.7,1642.0
5: Servicios de transporte de pasajeros por agua,463.3,66.7,79.6,281.2,333.1,384.6,329.6
6: Servicios de transporte aéreo de pasajeros,7645.2,2408.0,3111.8,6005.6,6034.5,5675.3,4886.9
7: Servicios de alquiler de equipos de transporte,2283.5,1079.3,531.9,1456.6,695.1,684.0,666.0
8: Agencias de viajes y otros servicios de reserva,1357.2,419.8,538.4,1608.5,1452.8,1882.9,1819.9
9: Servicios culturales,7572.5,2760.5,1658.2,5732.1,5619.4,5274.5,4570.7
10: Servicios deportivos y recreativos,5945.7,2948.2,1793.0,6703.1,5929.8,5476.3,5336.5
B: Otros productos no característicos,22931.6,14047.8,10555.8,23872.4,22881.3,23035.5,20966.0
TOTAL,84415.3,38529.5,25901.4,82725.4,79066.5,76189.4,68670.1
