 ,2025M01,2024M12,2024M11,2024M10,2024M09,2024M08,2024M07,2024M06,2024M05,2024M04,2024M03,2024M02,2024M01,2023M12,2023M11,2023M10,2023M09,2023M08,2023M07,2023M06,2023M05,2023M04,2023M03,2023M02,2023M01,2022M12,2022M11,2022M10,2022M09,2022M08,2022M07,2022M06,2022M05,2022M04,2022M03,2022M02,2022M01,2021M12,2021M11,2021M10,2021M09,2021M08,2021M07,2021M06,2021M05,2021M04,2021M03,2021M02,2021M01,2020M12,2020M11,2020M10,2020M09,2020M08,2020M07,2020M06,2020M05,2020M04,2020M03,2020M02,2020M01,2019M12,2019M11,2019M10,2019M09,2019M08,2019M07,2019M06,2019M05,2019M04,2019M03,2019M02,2019M01,2018M12,2018M11,2018M10,2018M09,2018M08,2018M07,2018M06,2018M05,2018M04,2018M03,2018M02,2018M01,2017M12,2017M11,2017M10,2017M09,2017M08,2017M07,2017M06,2017M05,2017M04,2017M03,2017M02,2017M01,2016M12,2016M11,2016M10,2016M09,2016M08,2016M07,2016M06,2016M05,2016M04,2016M03,2016M02,2016M01,2015M12,2015M11,2015M10
    Dato base,5.065.094,5.264.375,5.670.219,8.961.932,9.602.015,10.929.584,10.852.347,9.299.574,9.255.985,7.783.750,6.350.471,5.013.497,4.775.549,5.209.085,5.135.498,8.187.022,8.795.425,10.186.163,10.116.916,8.307.460,8.300.384,7.228.094,5.247.341,4.320.665,4.134.995,4.127.293,4.334.651,7.176.984,7.767.211,8.848.665,9.091.390,7.498.156,6.988.353,6.106.316,4.039.532,3.179.288,2.501.443,2.947.525,3.361.913,5.148.820,4.703.933,5.196.520,4.398.992,2.216.356,1.363.164,629.206,491.427,284.974,437.973,648.989,456.814,1.020.773,1.138.868,2.440.978,2.464.779,204.272,0,0,1.997.262,4.427.344,4.133.024,4.304.741,4.655.021,7.587.749,8.845.152,10.118.366,9.873.270,8.833.893,7.919.204,7.146.033,5.649.577,4.380.504,4.195.641,4.354.798,4.536.873,7.649.860,8.932.308,10.175.761,10.020.246,8.554.306,8.086.048,6.780.378,5.393.186,4.218.047,4.106.601,3.982.530,4.392.575,7.269.931,8.877.270,10.397.745,10.493.438,8.431.975,8.002.648,7.081.594,4.913.943,4.119.137,3.905.736,3.990.446,4.098.262,7.137.723,7.932.607,10.027.471,9.545.792,7.552.758,7.111.154,6.086.327,4.627.206,3.678.726,3.526.537,3.512.914,3.754.802,6.432.341
    Tasa de variación anual,"6,06","1,06","10,41","9,47","9,17","7,30","7,27","11,94","11,51","7,69","21,02","16,04","15,49","26,21","18,48","14,07","13,24","15,12","11,28","10,79","18,77","18,37","29,90","35,90","65,30","40,03","28,93","39,39","65,12","70,28","106,67","238,31","412,66","870,48","722,00","1.015,64","471,14","354,17","635,95","404,40","313,04","112,89","78,47","985,00",..,..,"-75,39","-93,56","-89,40","-84,92","-90,19","-86,55","-87,12","-75,88","-75,04","-97,69","-100,00","-100,00","-64,65","1,07","-1,49","-1,15","2,60","-0,81","-0,98","-0,56","-1,47","3,27","-2,06","5,39","4,75","3,85","2,17","9,35","3,29","5,23","0,62","-2,13","-4,51","1,45","1,04","-4,25","9,75","2,40","5,14","-0,20","7,18","1,85","11,91","3,69","9,93","11,64","12,54","16,35","6,20","11,97","10,75","13,59","9,15","10,97","9,52","6,34","9,99","12,89","8,19","11,59","15,45","13,95","11,04","7,92","10,56","8,89"
    Acumulado en lo que va de año,5.065.094,93.759.297,88.494.922,82.824.703,73.862.771,64.260.756,53.331.172,42.478.825,33.179.251,23.923.266,16.139.516,9.789.046,4.775.549,85.169.050,79.959.965,74.824.467,66.637.444,57.842.019,47.655.855,37.538.939,29.231.479,20.931.095,13.703.001,8.455.660,4.134.995,71.659.281,67.531.989,63.197.338,56.020.354,48.253.143,39.404.478,30.313.089,22.814.932,15.826.580,9.720.263,5.680.731,2.501.443,31.180.802,28.233.277,24.871.364,19.722.543,15.018.611,9.822.091,5.423.099,3.206.743,1.843.579,1.214.373,722.947,437.973,18.933.103,18.284.113,17.827.299,16.806.526,15.667.658,13.226.680,10.761.901,10.557.629,10.557.629,10.557.629,8.560.367,4.133.024,83.509.153,79.204.413,74.549.391,66.961.642,58.116.490,47.998.124,38.124.854,29.290.961,21.371.757,14.225.723,8.576.146,4.195.641,82.808.413,78.453.616,73.916.743,66.266.882,57.334.574,47.158.813,37.138.567,28.584.261,20.498.213,13.717.834,8.324.648,4.106.601,81.868.522,77.885.991,73.493.416,66.223.486,57.346.216,46.948.471,36.455.033,28.023.059,20.020.410,12.938.816,8.024.873,3.905.736,75.315.008,71.324.562,67.226.301,60.088.578,52.155.971,42.128.500,32.582.708,25.029.951,17.918.796,11.832.469,7.205.263,3.526.537, , , 
    Tasa de variación acumulada,"6,06","10,09","10,67","10,69","10,84","11,10","11,91","13,16","13,51","14,30","17,78","15,77","15,49","18,85","18,40","18,40","18,95","19,87","20,94","23,84","28,12","32,25","40,97","48,85","65,30","129,82","139,19","154,10","184,04","221,29","301,18","458,96","611,47","758,47","700,43","685,77","471,14","64,69","54,41","39,51","17,35","-4,14","-25,74","-49,61","-69,63","-82,54","-88,50","-91,55","-89,40","-77,33","-76,92","-76,09","-74,90","-73,04","-72,44","-71,77","-63,96","-50,60","-25,78","-0,18","-1,49","0,85","0,96","0,86","1,05","1,36","1,78","2,66","2,47","4,26","3,70","3,02","2,17","1,15","0,73","0,58","0,07","-0,02","0,45","1,88","2,00","2,39","6,02","3,74","5,14","8,70","9,20","9,32","10,21","9,95","11,44","11,88","11,96","11,73","9,35","11,38","10,75","10,46","10,29","10,36","10,29","10,41","11,42","11,85","11,54","12,93","13,64","12,50","11,04", , , 
"Ocio, recreo y vacaciones",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Dato base,4.119.870,4.257.518,4.622.268,7.796.628,8.474.002,10.156.706,9.894.693,8.081.685,8.070.902,6.528.656,5.199.955,4.045.261,3.920.738,4.174.457,4.181.913,6.997.851,7.850.297,9.392.958,9.226.130,7.273.357,7.273.620,6.191.036,4.289.177,3.511.872,3.412.404,3.319.525,3.554.483,6.128.414,6.863.955,8.156.393,8.304.492,6.668.228,5.931.285,5.204.968,3.358.283,2.632.372,2.009.257,2.345.683,2.815.695,4.519.648,4.161.869,4.758.280,3.871.103,1.775.810,1.006.187,390.801,267.565,162.575,274.925,385.414,295.647,800.953,902.587,2.169.355,2.122.117,167.634,0,0,1.657.119,3.654.750,3.377.951,3.533.161,3.815.851,6.628.274,7.947.555,9.451.449,8.975.647,7.817.617,6.917.988,6.212.566,4.685.301,3.550.662,3.440.353,3.571.407,3.763.368,6.707.426,7.987.061,9.370.729,9.070.322,7.508.130,7.149.584,5.782.796,4.341.659,3.458.372,3.462.200,3.217.373,3.676.581,6.331.811,7.949.343,9.596.016,9.427.961,7.401.577,6.895.568,6.065.684,3.995.086,3.387.506,3.142.597,3.115.937,3.251.951,6.100.455,7.057.857,9.296.900,8.664.754,6.591.364,6.078.190,4.921.015,3.747.057,2.814.264,2.671.999,2.631.906,2.926.298,5.311.088
    Tasa de variación anual,"5,08","1,99","10,53","11,41","7,94","8,13","7,25","11,11","10,96","5,45","21,23","15,19","14,90","25,75","17,65","14,19","14,37","15,16","11,10","9,07","22,63","18,94","27,72","33,41","69,83","41,52","26,24","35,59","64,92","71,41","114,53","275,50","489,48","1.231,87","1.155,13","1.519,18","630,84","508,61","852,39","464,28","361,10","119,34","82,42","959,34",..,..,"-83,85","-95,55","-91,86","-89,09","-92,25","-87,92","-88,64","-77,05","-76,36","-97,86","-100,00","-100,00","-64,63","2,93","-1,81","-1,07","1,39","-1,18","-0,49","0,86","-1,04","4,12","-3,24","7,43","7,91","2,67","-0,63","11,00","2,36","5,93","0,47","-2,35","-3,79","1,44","3,68","-4,66","8,67","2,09","10,17","3,26","13,06","3,79","12,63","3,22","8,81","12,29","13,45","23,26","6,62","20,37","17,61","18,39","11,13","14,86","11,16","7,53","10,64","11,13","6,01","8,82","17,97","8,19","5,02","-1,39","3,98","4,48"
    Acumulado en lo que va de año,4.119.870,81.049.012,76.791.494,72.169.226,64.372.598,55.898.597,45.741.890,35.847.197,27.765.513,19.694.610,13.165.954,7.965.999,3.920.738,73.775.073,69.600.615,65.418.703,58.420.852,50.570.555,41.177.596,31.951.466,24.678.109,17.404.489,11.213.453,6.924.276,3.412.404,62.131.655,58.812.130,55.257.647,49.129.233,42.265.279,34.108.886,25.804.394,19.136.166,13.204.881,7.999.912,4.641.629,2.009.257,26.350.140,24.004.457,21.188.763,16.669.114,12.507.246,7.748.966,3.877.864,2.102.054,1.095.867,705.065,437.500,274.925,15.533.526,15.148.112,14.852.465,14.051.513,13.148.925,10.979.570,8.857.453,8.689.820,8.689.820,8.689.820,7.032.701,3.377.951,72.976.423,69.443.262,65.627.411,58.999.137,51.051.583,41.600.133,32.624.486,24.806.870,17.888.882,11.676.316,6.991.015,3.440.353,72.173.054,68.601.647,64.838.279,58.130.853,50.143.792,40.773.063,31.702.741,24.194.611,17.045.027,11.262.231,6.920.572,3.462.200,71.087.103,67.869.730,64.193.148,57.861.337,49.911.995,40.315.979,30.888.018,23.486.441,16.590.874,10.525.190,6.530.103,3.142.597,64.311.744,61.195.806,57.943.855,51.843.400,44.785.543,35.488.643,26.823.889,20.232.525,14.154.335,9.233.320,5.486.263,2.671.999, , , 
    Tasa de variación acumulada,"5,08","9,86","10,33","10,32","10,19","10,54","11,08","12,19","12,51","13,16","17,41","15,04","14,90","18,74","18,34","18,39","18,91","19,65","20,72","23,82","28,96","31,80","40,17","49,18","69,83","135,79","145,01","160,79","194,73","237,93","340,17","565,43","810,36","1.104,97","1.034,63","960,94","630,84","69,63","58,47","42,66","18,63","-4,88","-29,42","-56,22","-75,81","-87,39","-91,89","-93,78","-91,86","-78,71","-78,19","-77,37","-76,18","-74,24","-73,61","-72,85","-64,97","-51,42","-25,58","0,60","-1,81","1,11","1,23","1,22","1,49","1,81","2,03","2,91","2,53","4,95","3,68","1,02","-0,63","1,53","1,08","1,00","0,47","0,46","1,13","2,64","3,02","2,74","7,00","5,98","10,17","10,54","10,91","10,79","11,61","11,45","13,60","15,15","16,08","17,21","13,99","19,03","17,61","10,49","10,12","10,06","9,52","9,27","9,74","9,45","8,91","10,20","10,96","6,62","5,02", , , 
"Negocio, motivos profesionales",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
