 ,2025M01,2024M12,2024M11,2024M10,2024M09,2024M08,2024M07,2024M06,2024M05,2024M04,2024M03,2024M02,2024M01,2023M12,2023M11,2023M10,2023M09,2023M08,2023M07,2023M06,2023M05,2023M04,2023M03,2023M02,2023M01,2022M12,2022M11,2022M10,2022M09,2022M08,2022M07,2022M06,2022M05,2022M04,2022M03,2022M02,2022M01,2021M12,2021M11,2021M10,2021M09,2021M08,2021M07,2021M06,2021M05,2021M04,2021M03,2021M02,2021M01,2020M12,2020M11,2020M10,2020M09,2020M08,2020M07,2020M06,2020M05,2020M04,2020M03,2020M02,2020M01,2019M12,2019M11,2019M10,2019M09,2019M08,2019M07,2019M06,2019M05,2019M04,2019M03,2019M02,2019M01,2018M12,2018M11,2018M10,2018M09,2018M08,2018M07,2018M06,2018M05,2018M04,2018M03,2018M02,2018M01,2017M12,2017M11,2017M10,2017M09,2017M08,2017M07,2017M06,2017M05,2017M04,2017M03,2017M02,2017M01,2016M12,2016M11,2016M10,2016M09,2016M08,2016M07,2016M06,2016M05,2016M04,2016M03,2016M02,2016M01,2015M12,2015M11,2015M10
    Dato base,8147788.0,8779950.0,9053630.0,12919686.0,13310160.0,16621567.0,15957871.0,12483868.0,13088646.0,11186407.0,9355437.0,7638734.0,7244153.0,8551712.0,8059185.0,11774557.0,12506679.0,15489505.0,14774158.0,11471027.0,11684198.0,10446253.0,7804622.0,6652234.0,6536295.0,6886524.0,6683915.0,10108573.0,10747336.0,13296353.0,13044946.0,10214168.0,9746051.0,8619969.0,6061508.0,5305950.0,4252809.0,5062259.0,5323293.0,7429965.0,7064833.0,8581154.0,6997238.0,3942082.0,2692002.0,1246691.0,1238091.0,803020.0,1250748.0,1574148.0,1000276.0,2681899.0,3014977.0,5354768.0,4763482.0,656181.0,0.0,0.0,3332035.0,7174414.0,6857790.0,7335560.0,7606142.0,11034547.0,12698879.0,16155889.0,14534938.0,12305955.0,11363709.0,10721891.0,8643169.0,6984740.0,6784666.0,7231453.0,7241009.0,11153466.0,12803621.0,16121776.0,14766107.0,11780733.0,11624018.0,10301539.0,8326310.0,6615762.0,6489874.0,6937773.0,6973620.0,10535814.0,12374962.0,15835528.0,15121496.0,11485278.0,11438274.0,10660952.0,7552469.0,6600345.0,6200774.0,6879053.0,6623135.0,10238948.0,11331574.0,15765727.0,14103246.0,10882964.0,10409297.0,9254452.0,7684502.0,6254862.0,6133318.0,6417639.0,6429628.0,9940966.0
    Tasa de variación anual,12.47,2.67,12.34,9.73,6.42,7.31,8.01,8.83,12.02,7.09,19.87,14.83,10.83,24.18,20.58,16.48,16.37,16.49,13.26,12.31,19.89,21.19,28.76,25.37,53.69,36.04,25.56,36.05,52.12,54.95,86.43,159.11,262.04,591.43,389.58,560.75,240.02,221.59,432.18,177.04,134.32,60.25,46.89,500.76,,,-62.84,-88.81,-81.76,-78.54,-86.85,-75.7,-76.26,-66.86,-67.23,-94.67,-100.0,-100.0,-61.45,2.72,1.08,1.44,5.04,-1.07,-0.82,0.21,-1.57,4.46,-2.24,4.08,3.81,5.58,4.54,4.23,3.83,5.86,3.46,1.81,-2.35,2.57,1.62,-3.37,10.25,0.23,4.66,0.85,5.29,2.9,9.21,0.44,7.22,5.53,9.89,15.2,-1.72,5.52,1.1,7.19,3.01,3.0,7.14,3.53,7.05,7.51,4.27,5.62,10.56,6.68,3.99,3.77,4.37,5.22
    Acumulado en lo que va de año,8147788.0,137640110.0,128860160.0,119806530.0,106886844.0,93576684.0,76955117.0,60997245.0,48513377.0,35424731.0,24238324.0,14882887.0,7244153.0,125750425.0,117198713.0,109139528.0,97364971.0,84858292.0,69368787.0,54594629.0,43123602.0,31439404.0,20993151.0,13188529.0,6536295.0,104968100.0,98081576.0,91397660.0,81289087.0,70541751.0,57245399.0,44200453.0,33986285.0,24240235.0,15620266.0,9558758.0,4252809.0,51631377.0,46569117.0,41245825.0,33815859.0,26751026.0,18169872.0,11172633.0,7230551.0,4538550.0,3291859.0,2053768.0,1250748.0,36409971.0,34835823.0,33835546.0,31153648.0,28138671.0,22783903.0,18020421.0,17364239.0,17364239.0,17364239.0,14032204.0,6857790.0,126170086.0,118834526.0,111228384.0,100193836.0,87494957.0,71339068.0,56804130.0,44498175.0,33134465.0,22412574.0,13769406.0,6784666.0,124455667.0,117224214.0,109983205.0,98829739.0,86026119.0,69904343.0,55138236.0,43357503.0,31733485.0,21431945.0,13105636.0,6489874.0,121717286.0,114779512.0,107805892.0,97270078.0,84895117.0,69059588.0,53938092.0,42452814.0,31014540.0,20353589.0,12801119.0,6200774.0,115561077.0,108682024.0,102058889.0,91819942.0,80488368.0,64722641.0,50619395.0,39736431.0,29327134.0,20072683.0,12388180.0,6133318.0,,,
    Tasa de variación acumulada,12.47,9.45,9.95,9.77,9.78,10.27,10.94,11.73,12.5,12.68,15.46,12.85,10.83,19.8,19.49,19.41,19.78,20.3,21.18,23.52,26.89,29.7,34.4,37.97,53.69,103.3,110.62,121.59,140.39,163.7,215.06,295.61,370.04,434.1,374.51,365.43,240.02,41.81,33.68,21.9,8.55,-4.93,-20.25,-38.0,-58.36,-73.86,-81.04,-85.36,-81.76,-71.14,-70.69,-69.58,-68.91,-67.84,-68.06,-68.28,-60.98,-47.59,-22.52,1.91,1.08,1.38,1.37,1.13,1.38,1.71,2.05,3.02,2.63,4.41,4.58,5.06,4.54,2.25,2.13,2.02,1.6,1.33,1.22,2.23,2.13,2.32,5.3,2.38,4.66,5.33,5.61,5.63,5.94,5.48,6.7,6.56,6.84,5.75,1.4,3.33,1.1,5.68,5.59,5.76,6.08,5.93,6.53,6.39,6.09,6.75,7.28,5.33,3.99,,,
Turista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Dato base,5065094.0,5264375.0,5670219.0,8961932.0,9602015.0,10929584.0,10852347.0,9299574.0,9255985.0,7783750.0,6350471.0,5013497.0,4775549.0,5209085.0,5135498.0,8187022.0,8795425.0,10186163.0,10116916.0,8307460.0,8300384.0,7228094.0,5247341.0,4320665.0,4134995.0,4127293.0,4334651.0,7176984.0,7767211.0,8848665.0,9091390.0,7498156.0,6988353.0,6106316.0,4039532.0,3179288.0,2501443.0,2947525.0,3361913.0,5148820.0,4703933.0,5196520.0,4398992.0,2216356.0,1363164.0,629206.0,491427.0,284974.0,437973.0,648989.0,456814.0,1020773.0,1138868.0,2440978.0,2464779.0,204272.0,0.0,0.0,1997262.0,4427344.0,4133024.0,4304741.0,4655021.0,7587749.0,8845152.0,10118366.0,9873270.0,8833893.0,7919204.0,7146033.0,5649577.0,4380504.0,4195641.0,4354798.0,4536873.0,7649860.0,8932308.0,10175761.0,10020246.0,8554306.0,8086048.0,6780378.0,5393186.0,4218047.0,4106601.0,3982530.0,4392575.0,7269931.0,8877270.0,10397745.0,10493438.0,8431975.0,8002648.0,7081594.0,4913943.0,4119137.0,3905736.0,3990446.0,4098262.0,7137723.0,7932607.0,10027471.0,9545792.0,7552758.0,7111154.0,6086327.0,4627206.0,3678726.0,3526537.0,3512914.0,3754802.0,6432341.0
    Tasa de variación anual,6.06,1.06,10.41,9.47,9.17,7.3,7.27,11.94,11.51,7.69,21.02,16.04,15.49,26.21,18.48,14.07,13.24,15.12,11.28,10.79,18.77,18.37,29.9,35.9,65.3,40.03,28.93,39.39,65.12,70.28,106.67,238.31,412.66,870.48,722.0,1015.64,471.14,354.17,635.95,404.4,313.04,112.89,78.47,985.0,,,-75.39,-93.56,-89.4,-84.92,-90.19,-86.55,-87.12,-75.88,-75.04,-97.69,-100.0,-100.0,-64.65,1.07,-1.49,-1.15,2.6,-0.81,-0.98,-0.56,-1.47,3.27,-2.06,5.39,4.75,3.85,2.17,9.35,3.29,5.23,0.62,-2.13,-4.51,1.45,1.04,-4.25,9.75,2.4,5.14,-0.2,7.18,1.85,11.91,3.69,9.93,11.64,12.54,16.35,6.2,11.97,10.75,13.59,9.15,10.97,9.52,6.34,9.99,12.89,8.19,11.59,15.45,13.95,11.04,7.92,10.56,8.89
    Acumulado en lo que va de año,5065094.0,93759297.0,88494922.0,82824703.0,73862771.0,64260756.0,53331172.0,42478825.0,33179251.0,23923266.0,16139516.0,9789046.0,4775549.0,85169050.0,79959965.0,74824467.0,66637444.0,57842019.0,47655855.0,37538939.0,29231479.0,20931095.0,13703001.0,8455660.0,4134995.0,71659281.0,67531989.0,63197338.0,56020354.0,48253143.0,39404478.0,30313089.0,22814932.0,15826580.0,9720263.0,5680731.0,2501443.0,31180802.0,28233277.0,24871364.0,19722543.0,15018611.0,9822091.0,5423099.0,3206743.0,1843579.0,1214373.0,722947.0,437973.0,18933103.0,18284113.0,17827299.0,16806526.0,15667658.0,13226680.0,10761901.0,10557629.0,10557629.0,10557629.0,8560367.0,4133024.0,83509153.0,79204413.0,74549391.0,66961642.0,58116490.0,47998124.0,38124854.0,29290961.0,21371757.0,14225723.0,8576146.0,4195641.0,82808413.0,78453616.0,73916743.0,66266882.0,57334574.0,47158813.0,37138567.0,28584261.0,20498213.0,13717834.0,8324648.0,4106601.0,81868522.0,77885991.0,73493416.0,66223486.0,57346216.0,46948471.0,36455033.0,28023059.0,20020410.0,12938816.0,8024873.0,3905736.0,75315008.0,71324562.0,67226301.0,60088578.0,52155971.0,42128500.0,32582708.0,25029951.0,17918796.0,11832469.0,7205263.0,3526537.0,,,
    Tasa de variación acumulada,6.06,10.09,10.67,10.69,10.84,11.1,11.91,13.16,13.51,14.3,17.78,15.77,15.49,18.85,18.4,18.4,18.95,19.87,20.94,23.84,28.12,32.25,40.97,48.85,65.3,129.82,139.19,154.1,184.04,221.29,301.18,458.96,611.47,758.47,700.43,685.77,471.14,64.69,54.41,39.51,17.35,-4.14,-25.74,-49.61,-69.63,-82.54,-88.5,-91.55,-89.4,-77.33,-76.92,-76.09,-74.9,-73.04,-72.44,-71.77,-63.96,-50.6,-25.78,-0.18,-1.49,0.85,0.96,0.86,1.05,1.36,1.78,2.66,2.47,4.26,3.7,3.02,2.17,1.15,0.73,0.58,0.07,-0.02,0.45,1.88,2.0,2.39,6.02,3.74,5.14,8.7,9.2,9.32,10.21,9.95,11.44,11.88,11.96,11.73,9.35,11.38,10.75,10.46,10.29,10.36,10.29,10.41,11.42,11.85,11.54,12.93,13.64,12.5,11.04,,,
Excursionista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
