,01 Andalucía,04 Almería,11 Cádiz,14 Córdoba,18 Granada,21 Huelva,23 Jaén,29 Málaga,41 Sevilla,02 Aragón,22 Huesca,44 Teruel,50 Zaragoza,"03 Asturias, Principado de",33 Asturias,"04 Balears, Illes","07 Balears, Illes",05 Canarias,"35 Palmas, Las",38 Santa Cruz de Tenerife,06 Cantabria,39 Cantabria,07 Castilla y León,05 Ávila,09 Burgos,24 León,34 Palencia,37 Salamanca,40 Segovia,42 Soria,47 Valladolid,49 Zamora,08 Castilla - La Mancha,02 Albacete,13 Ciudad Real,16 Cuenca,19 Guadalajara,45 Toledo,09 Cataluña,08 Barcelona,17 Girona,25 Lleida,43 Tarragona,10 Comunitat Valenciana,03 Alicante/Alacant,12 Castellón/Castelló,46 Valencia/València,11 Extremadura,06 Badajoz,10 Cáceres,12 Galicia,"15 Coruña, A",27 Lugo,32 Ourense,36 Pontevedra,"13 Madrid, Comunidad de",28 Madrid,"14 Murcia, Región de",30 Murcia,"15 Navarra, Comunidad Foral de",31 Navarra,16 País Vasco,01 Araba/Álava,48 Bizkaia,20 Gipuzkoa,"17 Rioja, La","26 Rioja, La",18 Ceuta,19 Melilla,Total Nacional
2025M02,1210103.0,64254.0,127353.0,81664.0,220647.0,37989.0,39187.0,368010.0,270998.0,217078.0,85457.0,28122.0,103499.0,87532.0,87532.0,167349.0,167349.0,924210.0,542537.0,381673.0,53062.0,53062.0,296294.0,24877.0,51062.0,44919.0,10544.0,58394.0,33632.0,14939.0,47192.0,10736.0,150654.0,28158.0,29526.0,24157.0,17811.0,51000.0,1169902.0,853957.0,162469.0,100705.0,52771.0,597413.0,289857.0,57727.0,249829.0,89415.0,47001.0,42413.0,207958.0,105224.0,26960.0,20073.0,55701.0,938401.0,938401.0,100792.0,100792.0,55332.0,55332.0,230365.0,28309.0,101349.0,100707.0,34531.0,34531.0,5242.0,4330.0,6539960.0
2025M01,983971.0,36982.0,100095.0,76019.0,188585.0,22418.0,33075.0,269769.0,257029.0,178779.0,66303.0,21022.0,91453.0,76688.0,76688.0,67535.0,67535.0,905844.0,529292.0,376552.0,45273.0,45273.0,258070.0,18557.0,49167.0,34214.0,11855.0,54288.0,29225.0,11241.0,40613.0,8911.0,124317.0,21963.0,23779.0,15518.0,15711.0,47346.0,1063163.0,789995.0,136542.0,90472.0,46154.0,496336.0,246779.0,34432.0,215124.0,68080.0,33147.0,34933.0,179837.0,85505.0,21580.0,16899.0,55852.0,949891.0,949891.0,83866.0,83866.0,48807.0,48807.0,206997.0,28451.0,86738.0,91808.0,29651.0,29651.0,5044.0,3927.0,5776075.0
2024M12,1105005.0,48389.0,123395.0,80679.0,192332.0,35037.0,41265.0,292539.0,291370.0,204922.0,57536.0,27428.0,119958.0,100710.0,100710.0,100207.0,100207.0,907836.0,531095.0,376741.0,56065.0,56065.0,331977.0,25661.0,63875.0,47481.0,10762.0,68682.0,38824.0,14434.0,49169.0,13089.0,161117.0,25660.0,31406.0,20967.0,19678.0,63405.0,1157918.0,829014.0,147887.0,80925.0,100092.0,541028.0,287813.0,49328.0,203887.0,102778.0,55906.0,46872.0,268632.0,108490.0,26338.0,23828.0,109975.0,1057978.0,1057978.0,95011.0,95011.0,67780.0,67780.0,250596.0,36791.0,112602.0,101203.0,34518.0,34518.0,5255.0,4156.0,6553489.0
2024M11,1278048.0,49231.0,140183.0,99847.0,208244.0,47220.0,48020.0,369692.0,315609.0,207513.0,44776.0,27361.0,135376.0,115968.0,115968.0,120469.0,120469.0,924076.0,541152.0,382924.0,73153.0,73153.0,379640.0,32148.0,65484.0,58486.0,13955.0,72001.0,41237.0,20985.0,58869.0,16474.0,183155.0,29949.0,35405.0,24107.0,24932.0,68763.0,1248937.0,941256.0,158379.0,44078.0,105224.0,592333.0,325544.0,52167.0,214622.0,112887.0,56754.0,56133.0,299163.0,141210.0,36304.0,25918.0,95730.0,1124406.0,1124406.0,105228.0,105228.0,74629.0,74629.0,278580.0,35718.0,127597.0,115264.0,42997.0,42997.0,5178.0,4864.0,7171221.0
2024M10,1838241.0,101499.0,251255.0,110866.0,265193.0,76257.0,58439.0,602997.0,371736.0,272448.0,69887.0,45320.0,157240.0,173419.0,173419.0,1372357.0,1372357.0,983705.0,585096.0,398609.0,106783.0,106783.0,501977.0,40026.0,96498.0,88122.0,22948.0,93511.0,50019.0,24999.0,64277.0,21578.0,242327.0,42128.0,41045.0,29675.0,29898.0,99582.0,1931632.0,1214889.0,378812.0,61228.0,276704.0,826885.0,416243.0,102281.0,308362.0,136908.0,71811.0,65098.0,510524.0,234329.0,78225.0,32082.0,165889.0,1225971.0,1225971.0,135092.0,135092.0,100130.0,100130.0,349844.0,43124.0,157974.0,148746.0,56863.0,56863.0,3920.0,5285.0,10774309.0
2024M09,2025863.0,180370.0,322959.0,106593.0,260507.0,142316.0,54253.0,615246.0,343619.0,274120.0,82952.0,42737.0,148432.0,231263.0,231263.0,1759286.0,1759286.0,888920.0,520085.0,368835.0,153311.0,153311.0,530961.0,39133.0,101154.0,98468.0,25519.0,101287.0,55498.0,24415.0,62760.0,22727.0,218311.0,37965.0,37453.0,28671.0,24487.0,89735.0,2150530.0,1198241.0,488831.0,75758.0,387699.0,925760.0,445840.0,136666.0,343255.0,144748.0,75170.0,69578.0,632434.0,272861.0,100598.0,36746.0,222228.0,1193454.0,1193454.0,138968.0,138968.0,111063.0,111063.0,369761.0,47905.0,168706.0,153150.0,62524.0,62524.0,4704.0,5398.0,11821379.0
2024M08,2224665.0,245109.0,364584.0,87212.0,264160.0,190067.0,58619.0,696239.0,318674.0,355902.0,141095.0,52003.0,162804.0,296551.0,296551.0,2067814.0,2067814.0,1005065.0,591062.0,414003.0,223366.0,223366.0,645654.0,43963.0,123607.0,128390.0,30637.0,126935.0,64003.0,29598.0,67807.0,30715.0,216910.0,36211.0,42597.0,32912.0,23985.0,81205.0,2630088.0,1315804.0,665394.0,117181.0,531709.0,1137298.0,562139.0,187895.0,387264.0,179888.0,97926.0,81962.0,767759.0,311028.0,118916.0,44502.0,293314.0,1032666.0,1032666.0,170974.0,170974.0,126972.0,126972.0,416271.0,57743.0,195280.0,163248.0,73171.0,73171.0,7888.0,7192.0,13586095.0
2024M07,2004872.0,224136.0,341253.0,70903.0,219728.0,158989.0,46088.0,648908.0,294867.0,297659.0,113733.0,35206.0,148720.0,259286.0,259286.0,2029972.0,2029972.0,959649.0,559680.0,399969.0,184363.0,184363.0,527337.0,34870.0,106842.0,91444.0,24619.0,96853.0,59286.0,25564.0,63751.0,24106.0,203312.0,38541.0,40914.0,26564.0,25329.0,71964.0,2531714.0,1345905.0,595471.0,99278.0,491060.0,1062956.0,520031.0,164542.0,378383.0,142076.0,76133.0,65943.0,612890.0,256753.0,95488.0,36182.0,224467.0,1170223.0,1170223.0,164579.0,164579.0,106348.0,106348.0,378266.0,50866.0,176514.0,150886.0,57054.0,57054.0,6278.0,4380.0,12703213.0
2024M06,2019917.0,188469.0,320439.0,97539.0,245974.0,152587.0,47718.0,635270.0,331921.0,265198.0,82216.0,37316.0,145667.0,201598.0,201598.0,1904461.0,1904461.0,901162.0,524766.0,376396.0,141697.0,141697.0,491500.0,35196.0,82805.0,94395.0,26655.0,85256.0,63984.0,23023.0,59194.0,20992.0,215577.0,36124.0,38300.0,28094.0,25756.0,87303.0,2304520.0,1277053.0,526872.0,84574.0,416021.0,977449.0,481321.0,141398.0,354730.0,129519.0,68207.0,61312.0,532268.0,241880.0,77403.0,32543.0,180442.0,1186884.0,1186884.0,142607.0,142607.0,97958.0,97958.0,327866.0,41405.0,150688.0,135773.0,54069.0,54069.0,6030.0,4802.0,11905082.0
2024M05,2099691.0,145585.0,328708.0,120387.0,264906.0,136286.0,58925.0,662252.0,382642.0,264385.0,64730.0,43407.0,156249.0,184260.0,184260.0,1738780.0,1738780.0,868636.0,505514.0,363121.0,139073.0,139073.0,500679.0,40071.0,92354.0,99399.0,23843.0,91996.0,45346.0,23711.0,62493.0,21467.0,238176.0,35715.0,41393.0,35243.0,26305.0,99520.0,2223250.0,1290759.0,485568.0,64888.0,382035.0,940707.0,472037.0,118161.0,350509.0,136775.0,67704.0,69071.0,552134.0,266357.0,83717.0,31927.0,170133.0,1227567.0,1227567.0,135233.0,135233.0,107614.0,107614.0,348172.0,44667.0,156700.0,146805.0,61280.0,61280.0,5392.0,4927.0,11776729.0
